Round,Date,Home Team,Score,Away Team,Venue
8,Monday 4 April,Queensland Firebirds,53–49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
9,Saturday 9 April,Southern Steel,49–40,Canterbury Tactix,"Edgar Centre, Dunedin"
9,Sunday 10 April,Melbourne Vixens,55–53,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
9,Sunday 10 April,Central Pulse,44–61,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
9,Monday 11 April,Waikato Bay of Plenty Magic,46–53,New South Wales Swifts,"Queen Elizabeth Youth Centre, Tauranga"
9,Monday 11 April,West Coast Fever,54–56,Northern Mystics,"Challenge Stadium, Perth"
10,Thursday 14 April,Waikato Bay of Plenty Magic,53–49,Canterbury Tactix,"Energy Events Centre, Rotorua"
10,Thursday 14 April,Queensland Firebirds,57–36,Melbourne Vixens,Brisbane Convention and Exhibition Centre
10,Saturday 16 April,Adelaide Thunderbirds,57–53,New South Wales Swifts,"ETSA Park, Adelaide"
10,Sunday 17 April,West Coast Fever,38–54,Melbourne Vixens,"Challenge Stadium, Perth"
10,Sunday 17 April,Southern Steel,33–38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome
10,Monday 18 April,Canterbury Tactix,45–47,Central Pulse,"CBS Canterbury Arena, Christchurch"
10,Monday 18 April,New South Wales Swifts,53–46,Northern Mystics,"State Sports Centre, Sydney"
11,Thursday 21 April,Southern Steel,39–40,New South Wales Swifts,"Edgar Centre, Dunedin"
11,Saturday 23 April,Melbourne Vixens,58–42,Central Pulse,"Hisense Arena, Melbourne"
11,Sunday 24 April,Adelaide Thunderbirds,36–55,Waikato Bay of Plenty Magic,"ETSA Park, Adelaide"
11,Sunday 24 April,Northern Mystics,62–43,Canterbury Tactix,"Trusts Stadium, Auckland"
11,Monday 25 April,Queensland Firebirds,56–54,West Coast Fever,Brisbane Convention and Exhibition Centre
12,Saturday 30 April,Canterbury Tactix,52–69,Queensland Firebirds,"CBS Canterbury Arena, Christchurch"
12,Sunday 1 May,Melbourne Vixens,33–45,New South Wales Swifts,"Hisense Arena, Melbourne"
12,Sunday 1 May,Southern Steel,35–47,Northern Mystics,Invercargill ILT Velodrome
12,Monday 2 May,Waikato Bay of Plenty Magic,60–50,Central Pulse,Taupo Events Centre
12,Monday 2 May,Adelaide Thunderbirds,59–64,West Coast Fever,"ETSA Park, Adelaide"
15,Monday 9 May,Queensland Firebirds,50–39,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
15,Sunday 8 May,New South Wales Swifts,44–49,Northern Mystics,"State Sports Centre, Sydney"
16,Sunday 15 May,Waikato Bay of Plenty Magic,42–43,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
17,Sunday 22 May,Queensland Firebirds,57–44,Northern Mystics,Brisbane Convention & Exhibition Centre
