Round,Date,Home Team,Score,Away Team,Venue
1,Sunday 13 February,New South Wales Swifts,60–40,Adelaide Thunderbirds,"State Sports Centre, Sydney"
1,Monday 14 February,Northern Mystics,51–34,Southern Steel,"Trusts Stadium, Auckland"
2,Saturday 19 February,Central Pulse,44–54,Northern Mystics,"Te Rauparaha Arena, Porirua"
2,Sunday 20 February,Adelaide Thunderbirds,47–65,Melbourne Vixens,"ETSA Park, Adelaide"
2,Sunday 20 February,Waikato Bay of Plenty Magic,51–36,Southern Steel,"Energy Events Centre, Rotorua"
2,Monday 21 February,Canterbury Tactix,48–54,West Coast Fever,"CBS Canterbury Arena, Christchurch"
2,Monday 21 February,Queensland Firebirds,51–48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
3,Thursday 24 February,Northern Mystics,39–45,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
3,Thursday 24 February,West Coast Fever,53–72,Adelaide Thunderbirds,"Challenge Stadium, Perth"
3,Saturday 26 February,Central Pulse,43–45,Southern Steel,"Te Rauparaha Arena, Porirua"
3,Saturday 26 February,Queensland Firebirds,64–41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
3,Sunday 27 February,New South Wales Swifts,45–49,Melbourne Vixens,"State Sports Centre, Sydney"
3,Thursday 7 April,Canterbury Tactix,45–58,Northern Mystics,"Vector Arena, Auckland"
3,Monday 28 February,Central Pulse,44–46,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
3,Monday 28 February,West Coast Fever,38–62,Queensland Firebirds,"Challenge Stadium, Perth"
4,Saturday 5 March,Adelaide Thunderbirds,51–41,Central Pulse,"ETSA Park, Adelaide"
4,Sunday 6 March,Queensland Firebirds,51–36,Southern Steel,Brisbane Convention and Exhibition Centre
4,Sunday 6 March,Northern Mystics,56–54,Melbourne Vixens,"Trusts Stadium, Auckland"
4,Monday 7 March,Canterbury Tactix,56–63,Waikato Bay of Plenty Magic,"Energy Events Centre, Rotorua*"
4,Monday 7 March,New South Wales Swifts,55–51,West Coast Fever,"State Sports Centre, Sydney"
5,Saturday 12 March,Melbourne Vixens,70–39,West Coast Fever,"State Netball and Hockey Centre,Melbourne"
5,Sunday 13 March,Adelaide Thunderbirds,42–64,Queensland Firebirds,"ETSA Park, Adelaide"
5,Sunday 13 March,Waikato Bay of Plenty Magic,46–47,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
5,Monday 14 March,Southern Steel,50–44,Central Pulse,Invercargill ILT Velodrome
5,Monday 14 March,New South Wales Swifts,54–45,Canterbury Tactix,"State Sports Centre, Sydney"
6,Thursday 17 March,West Coast Fever,49–70,New South Wales Swifts,"Challenge Stadium, Perth"
6,Saturday 19 March,West Coast Fever,50–47,Southern Steel,"Challenge Stadium, Perth"
6,Sunday 20 March,New South Wales Swifts,53–57,Queensland Firebirds,"State Sports Centre, Sydney"
6,Sunday 20 March,Central Pulse,46–43,Canterbury Tactix,"Arena Manawatu, Palmerston North"
6,Monday 21 March,Waikato Bay of Plenty Magic,53–41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton"
6,Monday 21 March,Adelaide Thunderbirds,57–55,Northern Mystics,"ETSA Park, Adelaide"
7,Saturday 26 March,Northern Mystics,52–61,Queensland Firebirds,"Trusts Stadium, Auckland"
7,Sunday 27 March,Melbourne Vixens,65–50,Canterbury Tactix,"Hisense Arena, Melbourne"
7,Sunday 27 March,Central Pulse,43–48,New South Wales Swifts,"TSB Bank Arena, Wellington"
7,Monday 28 March,Southern Steel,52–48,Adelaide Thunderbirds,Invercargill ILT Velodrome
7,Monday 28 March,West Coast Fever,41–42,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
8,Thursday 31 March,Canterbury Tactix,49–44,Southern Steel,"CBS Canterbury Arena, Christchurch"
8,Thursday 31 March,Melbourne Vixens,42–52,Queensland Firebirds,"State Netball and Hockey Centre,Melbourne"
8,Saturday 2 April,Northern Mystics,61–48,Central Pulse,"Trusts Stadium, Auckland"
8,Sunday 3 April,Melbourne Vixens,42–33,Southern Steel,"Hisense Arena, Melbourne"
8,Sunday 3 April,Canterbury Tactix,56–59,Adelaide Thunderbirds,"CBS Canterbury Arena, Christchurch"
8,Monday 4 April,Central Pulse,63–61,West Coast Fever,"Te Rauparaha Arena, Porirua"
