Round,Date,Home Team,Score,Away Team,Venue
1,Saturday 4 April,Southern Steel,55–46,Central Pulse,"Stadium Southland, Invercargill"
1,Saturday 4 April,Melbourne Vixens,57–44,West Coast Fever,"State Netball and Hockey Centre, Melbourne"
1,Sunday 5 April,Queensland Firebirds,48–60,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
1,Monday 6 April,Northern Mystics,38–51,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
1,Monday 6 April,New South Wales Swifts,62–45,Canterbury Tactix,Sydney Olympic Park Sports Centre
2,Saturday 11 April,Waikato Bay of Plenty Magic,54–47,Southern Steel,"Queen Elizabeth Youth Centre, Tauranga"
2,Sunday 12 April,Adelaide Thunderbirds,48–47,New South Wales Swifts,"ETSA Park, Adelaide"
2,Sunday 12 April,Northern Mystics,54–50,Central Pulse,"North Shore Events Centre, Auckland"
2,Monday 13 April,Canterbury Tactix,52–44,West Coast Fever,"Westpac Arena, Christchurch"
2,Monday 13 April,Queensland Firebirds,51–54,Melbourne Vixens,Brisbane Convention and Exhibition Centre
3,Saturday 18 April,Central Pulse,46–58,Queensland Firebirds,"TSB Bank Arena, Wellington"
3,Sunday 19 April,Adelaide Thunderbirds,43–49,Melbourne Vixens,"ETSA Park, Adelaide"
3,Sunday 19 April,Southern Steel,52–48,Canterbury Tactix,"The Edgar Centre, Dunedin"
3,Monday 20 April,Waikato Bay of Plenty Magic,63–45,New South Wales Swifts,"Mystery Creek Events Centre, Hamilton"
3,Monday 20 April,West Coast Fever,57–46,Northern Mystics,"Challenge Stadium, Perth"
4,Saturday 25 April,Central Pulse,54–60,West Coast Fever,"Arena Manawatu, Palmerston North"
4,Saturday 25 April,Melbourne Vixens,48–31,Southern Steel,"State Netball and Hockey Centre, Melbourne"
4,Sunday 26 April,Queensland Firebirds,53–42,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
4,Monday 27 April,Canterbury Tactix,48–53(42–42),Adelaide Thunderbirds,"Westpac Arena, Christchurch"
4,Monday 27 April,New South Wales Swifts,59–55,Northern Mystics,Sydney Olympic Park Sports Centre
5,Saturday 2 May,Canterbury Tactix,48–50,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
5,Sunday 3 May,Melbourne Vixens,50–42,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
5,Monday 4 May,Central Pulse,60–61(50–50),Northern Mystics,"TSB Bank Arena, Wellington"
5,Monday 4 May,West Coast Fever,67–66(54–54),New South Wales Swifts,"Challenge Stadium, Perth"
5,BYES: Queensland Firebirds and Southern Steel,,,,
6,Saturday 9 May,Waikato Bay of Plenty Magic,59–36,Central Pulse,"Mystery Creek Events Centre, Hamilton"
6,Sunday 10 May,New South Wales Swifts,40–51,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre
6,Monday 11 May,Northern Mystics,52–61,Southern Steel,"Trusts Stadium, Auckland"
6,Monday 11 May,Queensland Firebirds,56–53,West Coast Fever,Brisbane Convention and Exhibition Centre
6,BYES: Canterbury Tactix and Melbourne Vixens,,,,
7,Saturday 16 May,Canterbury Tactix,47–48,Southern Steel,"Westpac Arena, Christchurch"
7,Sunday 17 May,West Coast Fever,49–74,Melbourne Vixens,"Challenge Stadium, Perth"
7,Monday 18 May,Waikato Bay of Plenty Magic,50–35,Northern Mystics,"Energy Events Centre, Rotorua"
7,Monday 18 May,New South Wales Swifts,54–58,Queensland Firebirds,Sydney Olympic Park Sports Centre
7,BYES: Adelaide Thunderbirds and Central Pulse,,,,
8,Saturday 23 May,Canterbury Tactix,49–46,Central Pulse,"Westpac Arena, Christchurch"
8,Sunday 24 May,Adelaide Thunderbirds,51–50,Queensland Firebirds,"ETSA Park, Adelaide"
8,Monday 25 May,Southern Steel,39–48,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
8,Monday 25 May,Melbourne Vixens,65–63(54–54),New South Wales Swifts,"Hisense Arena, Melbourne"
8,BYES: Northern Mystics and West Coast Fever,,,,
9,Saturday 30 May,Central Pulse,44–66,Southern Steel,"TSB Bank Arena, Wellington"
9,Sunday 31 May,Melbourne Vixens,57–53,Queensland Firebirds,"Hisense Arena, Melbourne"
9,Monday 1 June,Northern Mystics,47–46,Canterbury Tactix,"Trusts Stadium, Auckland"
9,Monday 1 June,West Coast Fever,41–61,Adelaide Thunderbirds,"Challenge Stadium, Perth"
9,BYES: New South Wales Swifts and Waikato Bay of Plenty Magic,,,,
10,Saturday 6 June,Central Pulse,45–59,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
10,Saturday 6 June,Adelaide Thunderbirds,58–34,Northern Mystics,"Adelaide Arena, Adelaide"
10,Sunday 7 June,Queensland Firebirds,62–61,New South Wales Swifts,Brisbane Convention and Exhibition Centre
10,Monday 8 June,Waikato Bay of Plenty Magic,55–48,Melbourne Vixens,"Queen Elizabeth Youth Centre, Tauranga"
10,Monday 8 June,West Coast Fever,59–48,Southern Steel,"Challenge Stadium, Perth"
11,Saturday 13 June,Canterbury Tactix,53–46,Queensland Firebirds,"Westpac Arena, Christchurch"
11,Sunday 14 June,Adelaide Thunderbirds,58–39,West Coast Fever,"ETSA Park, Adelaide"
11,Sunday 14 June,Central Pulse,35–67,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
11,Monday 15 June,Southern Steel,52–50,Northern Mystics,"Stadium Southland, Invercargill"
11,Monday 15 June,New South Wales Swifts,52–63,Melbourne Vixens,Sydney Olympic Park Sports Centre
12,Saturday 20 June,Northern Mystics,57–61,Melbourne Vixens,"Trusts Stadium, Auckland"
12,Saturday 20 June,Adelaide Thunderbirds,70–40,Central Pulse,"ETSA Park, Adelaide"
12,Sunday 21 June,New South Wales Swifts,60–63,West Coast Fever,Sydney Olympic Park Sports Centre
12,Monday 22 June,Waikato Bay of Plenty Magic,50–46,Canterbury Tactix,"Energy Events Centre, Rotorua"
12,Monday 22 June,Queensland Firebirds,52–50,Southern Steel,Brisbane Convention and Exhibition Centre
13,Saturday 27 June,Northern Mystics,57–59,Queensland Firebirds,"Trusts Stadium, Auckland"
13,Sunday 28 June,West Coast Fever,38–49,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
13,Sunday 28 June,Central Pulse,53–52,New South Wales Swifts,"Te Rauparaha Arena, Porirua"
