Round,Date,Home Team,Score,Away Team,Venue
13,Monday 29 June,Southern Steel,58–49,Adelaide Thunderbirds,"The Edgar Centre, Dunedin"
13,Monday 29 June,Melbourne Vixens,63–35,Canterbury Tactix,"Hisense Arena, Melbourne"
14,Saturday 4 July,Southern Steel,55–48,New South Wales Swifts,"Stadium Southland, Invercargill"
14,Saturday 4 July,Melbourne Vixens,80–39,Central Pulse,"Hisense Arena, Melbourne"
14,Sunday 5 July,Adelaide Thunderbirds,54–35,Waikato Bay of Plenty Magic,"Adelaide Arena, Adelaide"
14,Monday 6 July,Canterbury Tactix,63–56,Northern Mystics,"Westpac Arena, Christchurch"
14,Monday 6 July,West Coast Fever,52–54,Queensland Firebirds,"Challenge Stadium, Perth"
15,Sunday 12 July,Melbourne Vixens,58–43,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
15,Monday 13 July,Adelaide Thunderbirds,51–45,Southern Steel,"ETSA Park, Adelaide"
16,Sunday 19 July,Waikato Bay of Plenty Magic,37–51,Adelaide Thunderbirds,"Mystery Creek Events Centre, Hamilton"
17,Sunday 26 July,Melbourne Vixens,54–46,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
