Round,Date,Home Team,Score,Away Team,Venue
13,Monday 30 June,Melbourne Vixens,49–62,New South Wales Swifts,"Vodafone Arena, Melbourne"
14,Saturday 5 July,Waikato Bay of Plenty Magic,69–44,Canterbury Tactix,"Mystery Creek Events Centre,Hamilton"
14,Sunday 6 July,Melbourne Vixens,56–47,Northern Mystics,"Vodafone Arena, Melbourne"
14,Sunday 6 July,Southern Steel,54–52,Queensland Firebirds,"Edgar Centre, Dunedin"
14,Monday 7 July,Central Pulse,32–44,Adelaide Thunderbirds,"Pettigrew Green Arena, Napier"
14,Monday 7 July,West Coast Fever,54–63,New South Wales Swifts,"Challenge Stadium, Perth"
15,Sunday 13 July,Waikato Bay of Plenty Magic,56-57,New South Wales Swifts,"Mystery Creek Events Centre,Hamilton"
15,Monday 14 July,Adelaide Thunderbirds,53-48,Melbourne Vixens,"ETSA Park, Adelaide"
16,Monday 21 July,Waikato Bay of Plenty Magic,51-49,Adelaide Thunderbirds,"Mystery Creek Events Centre,Hamilton"
17,Monday 28 July,New South Wales Swifts,65-56,Waikato Bay of Plenty Magic,"Acer Arena, Sydney"
